club_name,end_of_spell
AKA Tirol U15,2014-06-30
AKA Salzb. U15,2013-06-30
Salzburg Youth,2012-06-30
Ban,2022-06-10
Werder Bremen,2021-11-19
Darmstadt 98,2021-05-31
1.FC Köln,2019-04-27
Holstein Kiel,2018-06-30
Leverkusen U19,2016-08-30
Leverkusen U17,2016-06-30
Leverkusen Yth.,2013-06-30
Kapellen-Erft,2012-12-31
Eintracht Trier,2010-06-30
W. Bremen II,2019-12-31
Werder Bremen,2021-06-30
E. Frankfurt,2015-05-26
Werder Bremen,2013-05-15
W. Bremen Res.,1999-05-09
W. Bremen Yth.,1995-06-30
W. Bremen U17,1988-06-30
Vorskla Poltava,2025-06-30
Zorya Lugansk,2022-06-30
Riga,2019-02-05
W. Bremen U18,2008-06-30
W. Bremen Yth.,2008-06-30
W. Bremen III,2006-06-30
W. Bremen Yth.,2005-06-30
Werder Bremen,2013-06-30
Preußen Köln,2005-06-30
1.FC Köln II,1996-06-30
Eintracht Trier,1995-06-30
FC Oberneuland,2009-01-20
Berliner SC,2007-10-31
Al-Gharafa SC,2007-06-30
MSV Neuruppin,2006-06-30
Al-Arabi SC,2005-06-30
VfL Osnabrück,2000-02-13
Werder Bremen,1998-10-22
Werder Bremen,1997-08-19
FC Oberneuland,1997-06-30
Arm. Bielefeld,1994-08-25
TeBe Berlin,1994-05-06
VfB Oldenburg,1993-02-21
VfB Oldenburg,1992-06-30
TeBe Berlin,1988-03-06
Dynamo Dresden,2022-01-18
Dynamo Dresden,2011-06-30
Dynamo Dresden,2011-04-12
Radebeuler BC,2010-06-30
VfB Leipzig,2003-03-26
El Ahly,2001-06-30
FSV Zwickau,1999-08-31
Werder Bremen,1997-08-20
Dyn. Dresden II,1989-03-05
D. Dresden Yth.,1990-06-30
Werder Bremen,1980-01-28
Werder Bremen,1978-06-30
W. Bremen Res.,1964-03-30
Werder Bremen,1958-06-30
ZSG Union Halle,1953-04-10
Greenland,2004-12-31
Greenland,2002-12-31
Silkeborg IF,1999-06-30
Aalborg BK,1996-06-30
Bursaspor,1993-11-22
FC St. Pauli,1979-06-30
F. Düsseldorf,1976-04-14
Werder Bremen,1975-06-30
Werder Bremen,1972-05-07
Göttingen 05,1970-06-30
Werder Bremen,1970-03-16
Göttingen 05,1969-06-30
Aschaffenburg,1959-06-30
BC Augsburg,1957-06-30
Göttingen 05,1955-06-30
Chio Waldhof 07,1950-12-31
FV 1910 Horas,1947-06-30
Werder Bremen,1968-10-19
Werder Bremen,1968-03-02
Werder Bremen,1951-06-30
Werder Bremen,1950-06-30
Werder Bremen,1949-06-30
Werder Bremen,1949-12-04
Bremer SV,1949-06-30
Werder Bremen,1948-06-30
Hamburger SV,1945-06-30
LSV Hamburg,1944-06-30
F. Düsseldorf,1937-06-30
Stuttg. Kickers,1948-06-30
Werder Bremen,1934-10-31
Holstein Kiel,1974-02-17
VfL Osnabrück,1954-06-30
Rödelheimer FC,1948-12-06
FSV Frankfurt,1947-08-31
Hansa Rostock,2023-03-20
Waldh. Mannheim,2022-06-30
Chemnitzer FC,2020-06-30
Viktoria Köln,2019-05-13
Frankfurt U19,2015-06-30
E. Frankfurt II,2014-06-30
JFC F'furt Yth.,2012-06-30
FSV Frankf. II,2008-04-16
FSV Frankf. II,2006-06-30
E. Braunschweig,2025-06-30
Hansa Rostock,2022-11-06
1.FC Magdeburg,2018-11-12
RB Leipzig U19,2014-06-30
Berliner AK,2013-06-30
Babelsberg 03,2011-06-30
G. Schöneiche,2007-10-07
H. Rostock U19,2022-06-30
Hansa Rostock,2017-05-26
Hansa Rostock,2026-06-30
H. Rostock Yth.,2014-06-30
H. Rostock II,2012-06-30
E. Braunschweig,2024-12-31
E. Braunschweig,2020-09-02
VfR Aalen,2018-06-30
Hansa Rostock,2014-12-07
Wehen Wiesbaden,2013-10-21
Hansa Rostock,2011-12-05
Anorthosis,2009-07-25
Holstein Kiel,2008-12-15
Holstein Kiel,2007-02-26
Real Tamale,2006-04-30
Holstein Kiel,2004-06-30
Pr. Münster,2003-11-10
E. Braunschweig,2002-10-20
Fortuna Köln,2001-06-30
KFC Uerdingen,2000-06-30
Eintracht Trier,1999-10-06
Pr. Münster,1998-06-30
Wattenscheid 09,1996-06-30
Wattenscheid 09,1996-04-10
Wattenscheid II,1995-10-30
Rot-Weiß Lüdenscheid,1995-06-30
Hannover 96 U19,2025-06-30
Energie Cottbus,2021-04-23
Saarbrücken,2019-12-02
Hansa Rostock,2014-06-30
1.FC Köln II,2013-04-22
1.FC Köln,2012-06-30
1.FC Köln II,2012-04-11
1.FC Köln II,2007-06-30
SV Rödinghausen,2021-08-30
SV Rödinghausen,2022-06-30
TB Tvøroyri,2016-05-31
Hansa Rostock,2014-04-15
H. Rostock II,2015-06-30
Al-Ahli,2013-06-30
Bintang Medan,2012-06-30
H. Rostock U17,2006-01-02
H. Rostock U17,2005-08-14
Nürnberg U16 ,2004-06-30
Nürnberg Yth.,2003-06-30
Altona 93,2024-06-30
Daytona Rush,2019-06-30
Hansa Rostock,2014-04-02
VfL Bochum,2012-10-27
Hannover 96 II,2011-09-15
Hannover 96,2010-01-19
Hannover 96 II,2009-08-19
Hannover 96,2011-09-15
FC St. Pauli,2006-11-20
St. Pauli II,2004-03-28
St. Pauli U19,2002-08-19
FC St. Pauli,2004-03-28
Karlsruher SC,2001-06-30
NFV,1997-06-30
Falke Steinfeld,1994-06-30
SF Lotte,2017-10-31
RW Essen,2015-03-31
Hansa Rostock,2013-06-30
Pr. Münster,2012-01-23
Carl Zeiss Jena,2009-05-28
Spfr. Siegen,2008-05-01
Kickers Emden,2007-06-01
SC Concordia,2004-06-30
TSV Pansdorf,2000-06-30
Harburger SC,1999-06-30
Hamburg U19,1997-06-30
SV Lurup,1994-10-18
FC Bayern U17,2023-06-30
Hertha BSC UYL,2019-06-30
Hertha BSC U19,2022-06-30
Hertha BSC U17,2016-06-30
Hertha BSC U19,2015-06-30
Hertha BSC Yth.,2013-11-21
Hansa Rostock,2012-09-04
H. Rostock U17,2012-06-30
Hansa Rostock,2013-01-31
H. Rostock U19,2010-06-30
Arm. Bielefeld,2022-06-30
Arm. Bielefeld,2023-06-30
Hamburger SV II,2017-06-30
HSV Yth.,2017-06-30
Arm. Bielefeld,2014-02-23
Arm. Bielefeld,2011-11-02
Bielefeld U19,2015-06-30
Bielefeld U17,2015-06-30
A. Bielefeld II,2015-06-30
Arm. Bielefeld,2015-06-30
Hansa Rostock,2010-06-30
Hansa Rostock,2010-03-15
Hansa Rostock,2010-02-22
DFB-Stützpunkt,2007-06-30
Union Tornesch,2003-06-30
H. Rostock Yth.,2002-06-30
St. Pauli Yth.,2001-06-30
SC Paderborn,1999-12-23
FC Ingolstadt,2022-06-30
FC Ingolstadt,2019-07-31
H. Rostock II,2014-01-08
Hansa Rostock,2014-12-31
Hansa Rostock,2011-07-21
Hansa Rostock,2010-03-17
H. Rostock II,2009-03-07
H. Rostock U17,2005-08-17
H. Rostock U17,2002-06-30
Hansa Rostock,2014-12-11
Greifswalder SV,2009-03-07
Greifswalder SV,2005-12-18
H. Rostock II,2003-04-14
H. Rostock U19,2002-06-30
Hansa Rostock,2000-09-06
Hansa Rostock,1999-03-05
H. Rostock Yth.,1992-06-30
Werder Bremen,2018-07-31
VfL Oldenburg,2012-01-31
Hansa Rostock,2009-03-06
Hansa Rostock,2012-12-31
Hansa Rostock,2016-06-30
Hansa Rostock,2008-11-21
Hansa Rostock,2011-06-30
Hansa Rostock,2004-11-14
Hansa Rostock,2003-10-08
Hansa Rostock,2002-01-02
Hansa Rostock,2000-09-19
Hansa Rostock,2000-09-08
Al-Nasr SC,2010-02-07
Hansa Rostock,2008-11-10
Al-Nasr SC,2005-06-30
VfL Osnabrück,2004-04-07
Hamburger SV,2001-09-17
Hansa Rostock,1997-06-30
Union Berlin,1994-06-30
Hannover 96 II,1992-06-30
Hansa Rostock,1994-06-30
Hansa Rostock,1985-06-30
Hansa Rostock,1979-12-31
F. Düsseldorf,2019-09-07
Bonner SC,2014-04-30
AFC,2013-12-31
Esteghlal FC ,2010-05-19
Fußball-Lehrer-Ausbildung des DFB,2007-12-31
Hansa Rostock,1992-12-31
1.FC Köln,1991-08-23
Bonner SC,1989-06-30
1.FC Köln U19,1980-06-30
SV Sparta,2012-06-30
Köpenicker FC,2011-06-30
Berliner AK,2010-06-30
Lichtenberg 47,2008-09-23
Union Berlin,2004-12-09
Union Berlin II,2004-09-27
VfL Halle 96,2001-06-30
Dynamo Dresden,1998-12-07
FC Berlin,1998-03-11
BSV Stahl 1950,1994-08-25
Union Berlin,1992-06-30
Hansa Rostock,1990-06-30
Haldensleber SC,2001-06-30
Hansa Rostock,1986-06-30
1.FC Magdeburg,1985-06-30
Energie Cottbus,1977-06-30
Wismut Gera,1976-06-30
BSG EAB 1947,1985-03-31
Union Berlin,1983-09-30
Hansa Rostock,1981-12-31
BFC Dynamo,1977-06-30
Dynamo Dresden,1973-06-30
SG Adlershof,1969-06-30
Hansa Rostock,1980-06-30
Hansa Rostock,1979-12-16
FSV Zwickau,1997-10-14
MSV Duisburg II,1994-06-30
Karl-Marx-Stadt,1988-06-30
BSG Stahl Br.,1985-06-30
Union Berlin,1982-07-18
Hansa Rostock,1975-03-09
Hansa Rostock,1973-06-30
KKW Greifswald,1970-06-30
Eintr. Schwerin,1968-06-30
Motor Zwickau,1966-06-30
Hansa Rostock,1969-06-30
Empor Rostock,1956-12-31
Chemie Wolfen,1974-06-30
Hansa Rostock,1969-05-10
SC Fortschritt,1960-12-31
Lok Stendal,1959-12-31
SC Chemie Halle,1955-06-30
BSG Turbine,1954-06-30
1.FC Magdeburg,1976-06-19
Chemie Halle,1966-06-30
Empor Rostock,1959-08-31
SC Rotation,1956-09-30
Vorwärts Leipzig,1953-01-26
Empor Rostock,1956-10-14
Motor Zwickau,1955-06-30
BSG Gera-Süd,1950-12-31
SG Planitz,1949-06-30
Horch Zwickau,1949-06-30
Empor Rostock,1956-05-01
F. Düsseldorf,2025-06-30
Hamburger SV,2021-05-03
VfL Osnabrück,2020-07-05
VfL Osnabrück,2017-11-07
VfL Osnabrück,2017-10-04
Osnabrück U19,2017-10-04
Osnabrück U17,2015-08-23
Rot-Weiß Erfurt,2012-06-30
Rot Weiss Ahlen,2011-06-30
RW Essen,2020-06-30
Hamburger SV,2018-10-23
Hamburger SV II,2018-03-12
Hamburg U17,2017-06-30
FC 08 Homburg,2014-04-09
Viktoria Köln,2009-12-18
Vikt. Köln U19,2009-12-18
USA,2009-06-30
1.FC Passau,2006-08-23
Dooley Soccer University,2014-06-30
Aachen U19 ,2004-06-30
Sint-Truiden,2023-06-30
Mouscron,2020-06-10
Hamburger SV,2018-03-12
Würzb. Kickers,2017-06-30
FC Schalke 04,2011-03-17
Wolfsburg II,2008-12-31
VfB Lübeck,2007-02-28
VfL 93 Hamburg,2006-05-31
Loko Moscow,2022-02-28
1.FC Köln,2021-04-11
Hamburger SV,2018-01-21
TSG Hoffenheim,2015-10-26
Hoffenheim II,2011-03-23
SSV Ulm 1846,2009-06-30
Sonnenhof-Gr.,2007-11-19
Stuttgart U17,2007-06-30
SC Geislingen,2005-06-30
FTSV Kuchen,2002-06-30
TSG Salach,1999-06-30
FC Schalke 04,2021-03-30
VfB Stuttgart,2018-03-31
FC Zürich,2017-06-30
Hamburger SV,2016-05-09
FC Basel,2009-08-31
FC Basel,2006-06-30
FC Winterthur,2003-06-30
FC Winterthur,2000-06-30
Nürnberg Yth.,1998-06-30
Loko Moscow,2022-10-08
Orlando Pirates,2021-08-16
FC St. Gallen,2017-05-04
Hamburger SV II,2015-09-16
Hamburger SV,2015-03-22
Hamburger SV II,2014-09-15
Karlsruhe II,2014-06-30
Karlsruher SC,2012-03-26
Karlsruher SC,2014-06-30
VfB Oldenburg,2010-06-30
Henger SV,2005-06-30
TSV Wendelstein,2004-01-31
SK Lauf,1997-06-30
Hamburg U17,2023-06-30
Hamburg U16,2022-06-30
HSV Yth.,2021-09-17
TSV Sasel II,2018-09-10
Hamburger SV,2018-02-05
Hamburg U16,2015-10-06
Hamburger SV II,2015-06-30
HSV Yth.,2015-03-30
Hamburg U16,2014-12-31
HSV Yth.,2014-11-13
Hamburger SV II,2014-06-30
Hamburger SV,2013-09-24
Hamburger SV II,2013-09-16
Hamburger SV,2011-10-16
Hamburger SV,2011-10-09
Hamburger SV II,2011-09-18
Hamburger SV,2011-06-30
Hamburger SV II,2011-03-12
Hamburg U19,2008-12-31
HSV Yth.,2008-02-24
Al-Nasr SC,2022-11-05
Riga,2022-05-16
Vissel Kobe,2020-09-21
Grasshoppers,2019-03-04
APOEL Nicosia,2015-05-11
Hamburger SV,2013-09-17
FC Basel,2011-10-16
FC Ingolstadt,2009-04-21
RB Salzburg,2008-01-03
RB Juniors,2007-06-12
Feyenoord,2022-06-30
RSC Anderlecht,2019-10-03
PSV Eindhoven,2018-12-20
PAOK Salonika,2016-02-16
Metalist,2014-03-07
Hamburger SV,2013-05-22
Chelsea,2009-07-12
Tottenham,2005-06-04
PSV Eindhoven,2004-05-10
PSV Eindhoven,1993-06-10
B1913 Odense,1990-01-31
FC Wacker,2022-06-30
Újpest FC,2021-12-31
Aris Saloniki,2020-09-18
1.FC Magdeburg,2019-06-30
Vasas FC,2018-06-30
Hamburger SV,2011-09-19
Hamburger SV,2011-03-12
1.FC Nuremberg,2009-12-21
1.FC Nuremberg,2008-09-04
1.FC Nuremberg,2008-08-28
VfL Bochum U19,2008-02-11
VfL Wolfsburg,2006-01-02
Bor. M'gladbach,2005-06-08
DFL,2012-12-31
Hamburger SV,2001-10-03
Hamburger SV,2002-08-31
Hüttener Berge,2023-06-30
Concordia,2019-06-30
Women's footbal,2015-02-02
Bargteheide U19,2013-06-30
Norderstedt U19,2012-06-30
Ajman Club,2009-11-30
E. Norderstedt,2007-06-30
SC Concordia,2005-06-30
SC Norderstedt,2002-07-07
Hamburger SV,1997-06-30
Hamburger SV II,1999-11-08
Holstein Kiel,2004-02-25
Holstein Kiel,2002-06-30
VfL Osnabrück,1999-06-07
VfL Osnabrück,1997-10-21
Hamburger SV II,1996-02-04
TuS Hoisdorf,1994-11-21
Hamburg U19,1993-06-30
Hamburger SV,1992-03-10
Hamburger SV II,1990-01-04
Hamburger SV II,1987-06-30
Hamburg U19,1987-11-11
VfL Osnabrück,1984-02-22
Kocaelispor,1984-06-30
Holstein Kiel,1979-11-06
Wormatia Worms,1979-04-17
Hamburger SV,1978-06-30
VfL Osnabrück,1975-05-05
Hamburger SV,1973-06-30
Hamburger SV II,1970-06-30
Dortmund Yth.,1968-06-30
Schweinfurt 05,1972-06-30
VfB Oldenburg,1971-06-30
Arm. Hannover,1970-06-30
Altona 93,1967-06-30
VfB Oldenburg,1965-06-30
TSG Ulm 1846,1959-06-30
SC Norderstedt,1977-06-30
SC Norderstedt,1973-06-30
E. Garstedt,1972-06-30
SC Concordia,1968-06-30
Hamburger SV,1964-05-07
SC Concordia,1959-06-30
Hamburger SV,1956-06-30
Hamburger SV,1962-06-30
Hamburger SV,1944-09-30
Hamburger SV,1943-04-30
Hamburger SV,1942-04-30
Hamburger SV,1934-11-30
FC Basel,1930-06-30
Hamburger SV,1930-12-31
Hamburger SV,1929-01-31
Hamburger SV,1927-11-15
SpVgg Fürth,1925-10-31
KFC Phönix,1928-06-30
Hamburger SV,1925-11-30
Karlsruher FV,1925-06-30
SpVgg Fürth,1924-06-30
Hamburger SV,1922-04-30
E. Frankfurt,2026-06-30
RE Virton,2019-12-02
F91 Dudelange,2019-06-30
Hamm Benfica,2016-06-30
SV Mehring,2014-01-31
SV Mehring,2013-03-12
FSV Salmrohr,2012-10-10
Monaco,2025-06-30
Bor. M'gladbach,2022-06-30
E. Frankfurt,2021-06-30
BSC Young Boys,2018-06-30
RB Salzburg,2015-06-15
Grödig,2014-05-31
SCR Altach,2012-04-06
RB Juniors,2009-06-30
RB Juniors,2008-05-30
E. Frankfurt,2019-09-30
Frankfurt U19,2019-06-30
E. Frankfurt II,2005-12-31
E. Frankfurt,2002-05-28
E. Frankfurt,2002-03-08
Frankfurt U19,2001-01-31
FC Basel,2023-06-30
FC Schaffhausen,2022-06-30
Hannover 96,2018-09-30
Zug 94,2015-06-30
AC Bellinzona,2013-06-30
AC Bellinzona,2012-06-30
FC Aarau,2010-04-12
BSC Young Boys,2008-07-30
FC Vaduz,2005-05-10
FC Wil 1900,2003-06-30
SSV Ulm 1846,2000-09-19
FC Baden 1897,1999-03-30
FC Winterthur,1997-06-30
FC Emmenbrücke,1995-06-30
Wettingen Yth.,1992-06-30
Grasshopper Club,1990-06-30
Karlsruher SC,2009-12-19
E. Frankfurt,2001-04-02
Wilhelmshaven,2013-08-20
Wuppertaler SV,2013-06-30
Bonner SC,2006-09-29
Karlsruher SC,2005-01-05
Stuttgart II,2004-06-30
Stuttgart II,2001-12-12
E. Braunschweig,2001-05-17
E. Frankfurt,1999-04-19
Hannover 96,1998-12-21
FV Weinheim,1987-06-30
SV Sandhausen,1984-06-30
E. Frankfurt II,2005-11-12
E. Frankfurt II,2000-01-27
E. Frankfurt,1999-01-10
E. Frankfurt,2000-06-30
E. Frankfurt II,1997-06-30
TSV Pflaumheim,1994-06-30
TSV Rothenbuch,1992-06-30
Saarbrücken,2005-08-23
Saarbrücken,2003-11-05
Hannover 96,2001-04-23
E. Frankfurt,1998-12-08
SV Meppen,1996-04-18
BW Berlin,1991-06-30
BW Berlin II,1990-03-14
E. Frankfurt,2010-06-30
FSV Zwickau,1998-04-07
VfB Lübeck,1997-10-13
E. Frankfurt,1996-03-30
E. Frankfurt,1994-06-30
Frankfurt Yth.,1994-04-02
E. Frankfurt,1994-04-02
E. Frankfurt,1993-06-30
Aschaffenburg,1987-02-23
K. Offenbach,1985-06-30
Fortuna Köln,1984-12-15
FSV Frankfurt,1983-06-30
Freiburger FC,1982-03-07
1.FC Nuremberg,1981-03-03
K. Offenbach,1980-06-30
MFC Phönix,2018-06-30
VfL Neckarau,2009-09-21
SV 98/07 Seckenheim,2007-12-31
Anag. Karditsas,1999-12-20
Anag. Karditsas,1999-01-25
Ethn. Asteras,1998-04-15
Ethn. Piraeus,1996-10-24
PAS Giannina,1996-01-10
RW Walldorf,1994-06-30
VfB Marburg,1993-06-30
Energie Cottbus,1991-04-17
Aschaffenburg,1990-06-30
E. Frankfurt,1989-06-30
E. Frankfurt,1987-06-30
E. Frankfurt,1986-12-04
Darmstadt 98,1984-03-15
E. Frankfurt,1988-06-30
E. Frankfurt,1983-10-29
Frankfurt U19,1983-06-30
Frankfurt U17,1980-06-30
E. Frankfurt,1977-12-08
Eintracht Trier,1993-06-30
FC Wettingen,1990-10-01
FC 08 Homburg,1987-05-11
Darmstadt 98,1986-08-23
1.FC Nuremberg,1983-10-25
E. Frankfurt,1979-01-07
E. Frankfurt,1981-06-30
K. Offenbach,1978-06-30
Darmstadt 98,1976-11-09
E. Frankfurt II,1971-06-30
Ludwigsburg 07,1988-06-30
St. Kickers II,1987-06-30
SpVgg Fürth,1981-11-15
ESV Ingolstadt,1981-03-31
Stuttg. Kickers,1980-10-26
E. Frankfurt,1976-11-08
Eintracht Trier,1978-03-27
E. Frankfurt II,1976-06-30
1.FC Köln II,1975-06-30
FC Biel-Bienne,1971-10-18
K. Offenbach,1969-11-16
K. Offenbach,1958-06-30
E. Frankfurt,1933-08-31
FSV Frankfurt,1958-09-22
E. Frankfurt,1956-06-30
E. Frankfurt,1948-12-31
FC Bern,1957-06-30
Grasshoppers,1955-06-30
E. Frankfurt,1948-01-31
E. Frankfurt,1945-12-10
Arm. Bielefeld,2025-06-30
SC Verl,2023-06-30
SC Paderborn II,2022-02-14
Blumenthaler SV,2017-06-30
Saarbrücken,2022-10-10
SV Sandhausen,2020-11-24
Fortuna Köln,2018-10-15
TuS Koblenz,2011-06-30
TuS Koblenz,2009-12-28
TuS Koblenz,2009-12-13
TuS Koblenz U19,2006-06-30
Arm. Bielefeld,2023-03-07
VfL Osnabrück,2022-08-17
SC Paderborn,2021-06-30
A. Bielefeld II,2016-12-05
A. Bielefeld II,2012-06-30
Arm. Bielefeld,2012-06-30
Arm. Bielefeld,2022-08-17
Yverdon Sport,2022-06-30
Grasshoppers,2020-02-08
FC Zürich,2018-02-20
BSC Young Boys,2015-08-06
Grasshoppers,2013-06-30
FC St. Gallen,2011-03-01
FC Wil 1900,2008-06-30
Red Star ZH,2006-06-30
Arm. Bielefeld,2021-03-01
Dynamo Dresden,2018-08-22
Union Berlin,2014-06-30
RW Essen,2006-11-08
B. Dortmund II,2005-04-23
VfB Hüls,1998-06-30
Wattenscheid II,1996-06-30
SV Rödinghausen,2025-06-30
Arm. Bielefeld,2017-03-20
Arm. Bielefeld,2016-11-14
Arm. Bielefeld,2016-11-06
Bielefeld U19,2016-11-14
FC Ingolstadt,2023-01-31
Wehen Wiesbaden,2021-10-25
Arm. Bielefeld,2016-10-22
Sonnenhof-Gr.,2016-06-30
Sonnenhof-Gr.,2014-10-27
Sonnenhof-Gr.,2010-06-30
Sonnenhof-Gr.,2012-06-30
SV Meppen,2023-03-04
KAS Eupen,2022-02-16
KFC Uerdingen,2021-04-13
1.FC Magdeburg,2019-12-22
KFC Uerdingen,2019-01-28
Rot-Weiß Erfurt,2017-10-02
Energie Cottbus,2015-09-19
Arm. Bielefeld,2011-09-19
SV Roßbach/V.,2011-06-30
Unknown,2002-06-30
FV Rheinbrohl,2000-06-30
Saalfelden,2022-09-26
Saalfelden,2022-06-30
Ratchaburi FC,2018-02-22
Atl. Baleares ,2017-03-15
Unterhaching,2015-03-25
Arm. Bielefeld,2010-11-06
Bor. M'gladbach,2008-12-15
Bor. M'gladbach,2008-10-18
M'gladbach U17,2007-03-08
E. Braunschweig,2021-05-31
E. Braunschweig,2020-02-25
Energie Cottbus,2018-09-08
Energie Cottbus,2019-06-30
Viktoria Köln,2014-12-06
Goslarer SC,2013-05-13
Arm. Bielefeld,2010-06-08
Arm. Bielefeld,2010-03-29
Kaizer Chiefs,2007-03-05
Tractor Sazi,2005-06-30
Carl Zeiss Jena,2004-06-07
Carl Zeiss Jena,2002-09-12
Göttingen 05,2002-03-05
TuS Celle FC,2000-12-13
SG Wehrstedt,2000-06-30
Women's footbal,1995-06-30
SF Salzgitter,1993-06-30
Delbrücker SC,2024-06-30
Lupo-Martini,2017-10-02
Pr. Münster,2014-03-31
RB Leipzig,2014-02-16
Steinhagen,2013-06-30
Arm. Bielefeld,2010-03-30
A. Bielefeld II,2008-06-30
Arm. Bielefeld,2007-12-15
A. Bielefeld II,2007-12-10
Bielefeld U19,2007-02-15
SV Straelen,2022-02-28
K. Offenbach,2011-04-30
Arm. Bielefeld,2010-03-11
Sturm Graz,2009-06-23
FC Schönberg 95,2007-06-30
SV Straelen,2003-06-30
Carl Zeiss Jena,1999-11-08
SV Meppen,2023-08-16
Moroka Swallows,2023-03-06
Maritzburg Utd.,2022-06-30
Saint George SA,2020-11-24
Kaizer Chiefs,2020-09-09
Bangkok Utd.,2018-12-06
Maritzburg Utd.,2016-11-24
FS Stars,2015-12-21
Chippa United,2015-03-30
Bloem. Celtic,2014-12-15
Maritzburg Utd.,2013-10-10
Golden Arrows,2011-09-30
Maritzburg Utd.,2011-03-12
RW Essen,2009-05-06
CC Yatai,2008-12-31
Arm. Bielefeld,2007-12-10
Hearts of Oak,2004-06-30
FC Augsburg,2003-09-28
Asante Kotoko,2002-06-30
VfL Bochum,1999-10-24
KFC Uerdingen,1999-06-30
Arm. Bielefeld,1998-08-17
FC Gütersloh,1994-06-30
VfB Rheine,1992-06-30
Arm. Bielefeld,1990-10-01
E. Nordhorn,1988-04-18
VfB Alstätte,1987-06-30
RB Leipzig,2024-06-30
M'gladbach II,2022-09-07
Arm. Bielefeld,2009-06-30
Arm. Bielefeld,2007-03-13
Arm. Bielefeld,2007-02-11
Arm. Bielefeld,2005-06-30
Arm. Bielefeld,2000-10-22
Arm. Bielefeld,2005-05-10
Hamburger SV,2018-05-13
Lechia Gdansk,2015-12-03
Hamburger SV,2015-02-26
Lechia Gdansk,2015-08-31
SV Kapfenberg,2015-06-30
SV Kapfenberg,2013-06-30
SV Kapfenberg,2012-11-10
Apol. Limassol,2010-01-28
Arm. Bielefeld,2004-03-01
Arm. Bielefeld,2005-05-11
Saarbrücken,2001-08-21
Hannover 96,1999-12-31
Arm. Bielefeld,1999-06-30
Sonnenhof-Gr.,2015-02-25
Karlsruher SC,2011-03-01
1.FC Köln,2005-12-18
LR Ahlen,2002-11-25
Waldh. Mannheim,2000-06-30
Waldh. Mannheim,2001-11-12
FC St. Gallen,1996-04-20
FC Monthey,1993-06-30
Martigny-Sports,1991-10-31
Bayern Munich,2020-07-31
FC Bayern II,2011-04-13
FC Bayern II,2017-06-30
Bayern Munich,2017-06-30
FC Bayern II,2009-04-26
SSV Ulm 1846,2001-03-21
Arm. Bielefeld,2000-10-16
TeBe Berlin,1998-11-18
1.FC Nuremberg,1996-04-30
Bayern Munich,1992-06-30
FC Bayern II,1995-06-30
FC Bayern U19,1991-10-08
1.FC Nuremberg,1990-04-09
VfL Bochum,1988-06-30
VfL Bochum U19,1986-06-30
Ferencváros,2018-06-05
SC Wiedenbrück,2014-04-08
RW Oberhausen,2011-10-04
B. Dortmund II,2011-02-23
B. Dortmund U19,2005-04-23
B. Dortmund II,1999-06-30
Bielefeld U19,1998-06-30
Arm. Bielefeld,1994-06-30
SpVg Olpe,2018-06-30
Holzwickeder SC,2016-06-30
SV Holzwickede,2015-06-30
SV Holzwickede,2011-06-30
LR Ahlen,2005-03-01
Jahn Regensburg,2003-11-17
Spfr. Siegen,2003-06-30
VfR Sölde,1994-06-30
Arm. Bielefeld,1994-02-01
VfR Sölde,1992-06-30
Eving-Lindenh.,1989-06-30
Wanne-Eickel,1988-06-30
Viktoria 08,1987-06-30
SpVg Olpe,2009-06-30
FC Gütersloh,2005-06-30
SC Paderborn,1999-10-12
SC Verl,1999-05-25
Beckumer SV,1996-06-30
Arm. Bielefeld,1992-06-30
SC Verl,1991-04-15
SC Verl,1987-06-30
Schloß-Neuhaus,1982-12-06
PSV Wesel,2010-06-30
Glückauf Möllen,2006-11-02
VfB Homberg,1992-06-30
Arm. Bielefeld,1991-06-30
Arm. Bielefeld,1988-04-18
A. Bielefeld II,2014-06-30
Rot Weiss Ahlen,2023-02-15
Rot Weiss Ahlen,2012-04-02
RB Leipzig,2010-05-31
Hammer SpVg,2009-06-30
LR Ahlen,2003-12-31
Göttingen 05,2000-06-30
LR Ahlen,1997-09-14
LR Ahlen,1998-06-30
LR Ahlen,1996-06-30
Göttingen 05,1991-03-25
VfB Oldenburg,1989-10-10
Arm. Bielefeld,1988-04-11
Arm. Bielefeld,1980-11-30
Arm. Bielefeld,1973-12-31
Arm. Bielefeld,1973-02-01
FC Chiasso,1986-06-30
AC Bellinzona,1984-06-30
Freiburger FC,1979-06-30
Arm. Bielefeld,1978-10-08
FSV Frankfurt,1978-06-30
FC Augsburg,1975-06-30
SSV Reutlingen,1973-06-30
VfL Osnabrück,1985-08-13
Alem. Aachen,1984-02-14
Union Solingen,1982-06-30
Alem. Aachen,1981-08-26
SC Herford,1978-06-30
Wuppertaler SV,1977-10-31
Wattenscheid 09,1977-06-30
Arm. Bielefeld,1976-06-30
SVA Gütersloh,1974-06-30
Arm. Bielefeld,1973-09-30
Arm. Bielefeld,1973-10-11
Willem II,1985-06-30
Helmond Sport,1983-06-30
AZ '67,1977-10-25
FC Groningen,1977-06-30
Go Ahead Eagles,1975-03-23
Arm. Bielefeld,1972-09-30
Arm. Bielefeld,1972-01-31
VfL Osnabrück,1967-06-30
Holstein Kiel,1966-02-28
Arm. Bielefeld,1965-06-30
SV Saar 05,1963-03-31
VfL Osnabrück,1962-06-30
